"","ensembl_gene_id","mgi_symbol"
"1","ENSMUSG00000000125","Wnt3"
"2","ENSMUSG00000000142","Axin2"
"3","ENSMUSG00000000182","Fgf23"
"4","ENSMUSG00000000440","Pparg"
"5","ENSMUSG00000000567","Sox9"
"6","ENSMUSG00000001419","Mef2d"
"7","ENSMUSG00000001506","Col1a1"
"8","ENSMUSG00000001729","Akt1"
"9","ENSMUSG00000001750","Tcirg1"
"10","ENSMUSG00000001761","Smo"
"11","ENSMUSG00000001802","Lrp3"
"12","ENSMUSG00000002633","Shh"
"13","ENSMUSG00000002688","Prkd1"
"14","ENSMUSG00000004637","Wwox"
"15","ENSMUSG00000005469","Prkaca"
"16","ENSMUSG00000005583","Mef2c"
"17","ENSMUSG00000005871","Apc"
"18","ENSMUSG00000006445","Epha2"
"19","ENSMUSG00000006538","Ihh"
"20","ENSMUSG00000006932","Ctnnb1"
"21","ENSMUSG00000006958","Chrd"
"22","ENSMUSG00000007041","Clic1"
"23","ENSMUSG00000007279","Scube2"
"24","ENSMUSG00000007805","Twist2"
"25","ENSMUSG00000007872","Id3"
"26","ENSMUSG00000008136","Fhl2"
"27","ENSMUSG00000008855","Hdac5"
"28","ENSMUSG00000008999","Bmp7"
"29","ENSMUSG00000009900","Wnt3a"
"30","ENSMUSG00000013622","Atraid"
"31","ENSMUSG00000014704","Hoxa2"
"32","ENSMUSG00000015957","Wnt11"
"33","ENSMUSG00000016559","H3f3b"
"34","ENSMUSG00000017119","Nbr1"
"35","ENSMUSG00000019256","Ahr"
"36","ENSMUSG00000019359","Gdpd2"
"37","ENSMUSG00000019773","Fbxo5"
"38","ENSMUSG00000019857","Asf1a"
"39","ENSMUSG00000020053","Igf1"
"40","ENSMUSG00000020427","Igfbp3"
"41","ENSMUSG00000020623","Map2k6"
"42","ENSMUSG00000020644","Id2"
"43","ENSMUSG00000020716","Nf1"
"44","ENSMUSG00000020719","Ddx5"
"45","ENSMUSG00000021131","Erh"
"46","ENSMUSG00000021136","Smoc1"
"47","ENSMUSG00000021318","Gli3"
"48","ENSMUSG00000021379","Id4"
"49","ENSMUSG00000021451","Sema4d"
"50","ENSMUSG00000021466","Ptch1"
"51","ENSMUSG00000021469","Msx2"
"52","ENSMUSG00000021493","Pdlim7"
"53","ENSMUSG00000021540","Smad5"
"54","ENSMUSG00000021756","Il6st"
"55","ENSMUSG00000021796","Bmpr1a"
"56","ENSMUSG00000021835","Bmp4"
"57","ENSMUSG00000021943","Gdf10"
"58","ENSMUSG00000021974","Fgf9"
"59","ENSMUSG00000022382","Wnt7b"
"60","ENSMUSG00000022475","Hdac7"
"61","ENSMUSG00000022510","Trp63"
"62","ENSMUSG00000022607","Ptk2"
"63","ENSMUSG00000022676","Snai2"
"64","ENSMUSG00000022702","Hira"
"65","ENSMUSG00000022812","Gsk3b"
"66","ENSMUSG00000022996","Wnt10b"
"67","ENSMUSG00000023000","Dhh"
"68","ENSMUSG00000023951","Vegfa"
"69","ENSMUSG00000024074","Crim1"
"70","ENSMUSG00000024098","Twsg1"
"71","ENSMUSG00000024176","Sox8"
"72","ENSMUSG00000024232","Bambi"
"73","ENSMUSG00000024401","Tnf"
"74","ENSMUSG00000024462","Gabbr1"
"75","ENSMUSG00000024515","Smad4"
"76","ENSMUSG00000024529","Lox"
"77","ENSMUSG00000024598","Fbn2"
"78","ENSMUSG00000024913","Lrp5"
"79","ENSMUSG00000024947","Men1"
"80","ENSMUSG00000024955","Esrra"
"81","ENSMUSG00000025138","Sirt7"
"82","ENSMUSG00000025239","Limd1"
"83","ENSMUSG00000025407","Gli1"
"84","ENSMUSG00000025423","Pias2"
"85","ENSMUSG00000025491","Ifitm1"
"86","ENSMUSG00000025746","Il6"
"87","ENSMUSG00000025854","Fam20c"
"88","ENSMUSG00000026185","Igfbp5"
"89","ENSMUSG00000026241","Nppc"
"90","ENSMUSG00000026313","Hdac4"
"91","ENSMUSG00000026668","Ucma"
"92","ENSMUSG00000026674","Ddr2"
"93","ENSMUSG00000026697","Myoc"
"94","ENSMUSG00000026725","Tnn"
"95","ENSMUSG00000026836","Acvr1"
"96","ENSMUSG00000026923","Notch1"
"97","ENSMUSG00000027230","Creb3l1"
"98","ENSMUSG00000027276","Jag1"
"99","ENSMUSG00000027339","Rassf2"
"100","ENSMUSG00000027358","Bmp2"
"101","ENSMUSG00000027523","Gnas"
"102","ENSMUSG00000027778","Ift80"
"103","ENSMUSG00000027803","Wwtr1"
"104","ENSMUSG00000027833","Shox2"
"105","ENSMUSG00000027951","Adar"
"106","ENSMUSG00000027996","Sfrp2"
"107","ENSMUSG00000028063","Lmna"
"108","ENSMUSG00000028161","Ppp3ca"
"109","ENSMUSG00000028284","Map3k7"
"110","ENSMUSG00000028332","Hemgn"
"111","ENSMUSG00000028988","Ctnnbip1"
"112","ENSMUSG00000029050","Ski"
"113","ENSMUSG00000029249","Rest"
"114","ENSMUSG00000029287","Tgfbr3"
"115","ENSMUSG00000029304","Spp1"
"116","ENSMUSG00000029335","Bmp3"
"117","ENSMUSG00000029378","Areg"
"118","ENSMUSG00000029755","Dlx5"
"119","ENSMUSG00000029915","Clec5a"
"120","ENSMUSG00000030890","Ilk"
"121","ENSMUSG00000031520","Vegfc"
"122","ENSMUSG00000031548","Sfrp1"
"123","ENSMUSG00000031565","Fgfr1"
"124","ENSMUSG00000031681","Smad1"
"125","ENSMUSG00000031885","Cbfb"
"126","ENSMUSG00000032402","Smad3"
"127","ENSMUSG00000032492","Pth1r"
"128","ENSMUSG00000032496","Ltf"
"129","ENSMUSG00000032726","Bmp8a"
"130","ENSMUSG00000033016","Nfatc1"
"131","ENSMUSG00000034762","Glis1"
"132","ENSMUSG00000034957","Cebpa"
"133","ENSMUSG00000035455","Fignl1"
"134","ENSMUSG00000035799","Twist1"
"135","ENSMUSG00000035877","Zhx3"
"136","ENSMUSG00000035914","Cd276"
"137","ENSMUSG00000036192","Rorb"
"138","ENSMUSG00000036856","Wnt4"
"139","ENSMUSG00000036867","Smad6"
"140","ENSMUSG00000037225","Fgf2"
"141","ENSMUSG00000037370","Enpp1"
"142","ENSMUSG00000037573","Tob1"
"143","ENSMUSG00000037712","Fermt2"
"144","ENSMUSG00000038193","Hand2"
"145","ENSMUSG00000038260","Trpm4"
"146","ENSMUSG00000038331","Satb2"
"147","ENSMUSG00000038375","Trp53inp2"
"148","ENSMUSG00000038677","Scube3"
"149","ENSMUSG00000039004","Bmp6"
"150","ENSMUSG00000039153","Runx2"
"151","ENSMUSG00000039286","Fndc3b"
"152","ENSMUSG00000039942","Ptger4"
"153","ENSMUSG00000040274","Cdk6"
"154","ENSMUSG00000040289","Hey1"
"155","ENSMUSG00000040297","Suco"
"156","ENSMUSG00000040711","Sh3pxd2b"
"157","ENSMUSG00000040856","Dlk1"
"158","ENSMUSG00000040998","Npnt"
"159","ENSMUSG00000042406","Atf4"
"160","ENSMUSG00000042745","Id1"
"161","ENSMUSG00000043252","Tmem64"
"162","ENSMUSG00000044674","Fzd1"
"163","ENSMUSG00000048402","Gli2"
"164","ENSMUSG00000048424","Ranbp3l"
"165","ENSMUSG00000048583","Igf2"
"166","ENSMUSG00000048616","Nog"
"167","ENSMUSG00000048772","Tmem53"
"168","ENSMUSG00000048776","Pthlh"
"169","ENSMUSG00000050199","Lgr4"
"170","ENSMUSG00000050953","Gja1"
"171","ENSMUSG00000051159","Cited1"
"172","ENSMUSG00000051920","Rspo2"
"173","ENSMUSG00000052155","Acvr2a"
"174","ENSMUSG00000052276","Ostn"
"175","ENSMUSG00000052430","Bmpr1b"
"176","ENSMUSG00000052837","Junb"
"177","ENSMUSG00000053110","Yap1"
"178","ENSMUSG00000053137","Mapk11"
"179","ENSMUSG00000053436","Mapk14"
"180","ENSMUSG00000053475","Tnfaip6"
"181","ENSMUSG00000054196","Cthrc1"
"182","ENSMUSG00000054200","Ffar4"
"183","ENSMUSG00000054675","Tmem119"
"184","ENSMUSG00000055409","Nell1"
"185","ENSMUSG00000056014","A430033K04Rik"
"186","ENSMUSG00000056501","Cebpb"
"187","ENSMUSG00000060284","Sp7"
"188","ENSMUSG00000060743","H3f3a"
"189","ENSMUSG00000061393","Acvr2b"
"190","ENSMUSG00000063632","Sox11"
"191","ENSMUSG00000066613","Zfp932"
"192","ENSMUSG00000067336","Bmpr2"
"193","ENSMUSG00000067567","Hdac8"
"194","ENSMUSG00000071076","Jund"
"195","ENSMUSG00000072625","Gdf2"
"196","ENSMUSG00000073489","Ifi204"
"197","ENSMUSG00000074483","Bglap"
"198","ENSMUSG00000074486","Bglap2"
"199","ENSMUSG00000074489","Bglap3"
"200","ENSMUSG00000074637","Sox2"
"201","ENSMUSG00000074934","Grem1"
